Category: All categories

Month,college football: (United States)
2004-01,11
2004-02,6
2004-03,3
2004-04,4
2004-05,4
2004-06,5
2004-07,9
2004-08,12
2004-09,32
2004-10,28
2004-11,28
2004-12,18
2005-01,13
2005-02,6
2005-03,4
2005-04,5
2005-05,5
2005-06,6
2005-07,10
2005-08,16
2005-09,47
2005-10,41
2005-11,35
2005-12,20
2006-01,14
2006-02,6
2006-03,4
2006-04,5
2006-05,5
2006-06,6
2006-07,10
2006-08,16
2006-09,56
2006-10,44
2006-11,43
2006-12,22
2007-01,14
2007-02,6
2007-03,4
2007-04,4
2007-05,4
2007-06,6
2007-07,9
2007-08,18
2007-09,60
2007-10,49
2007-11,46
2007-12,26
2008-01,14
2008-02,6
2008-03,4
2008-04,4
2008-05,4
2008-06,5
2008-07,9
2008-08,22
2008-09,48
2008-10,41
2008-11,48
2008-12,30
2009-01,18
2009-02,7
2009-03,5
2009-04,5
2009-05,5
2009-06,5
2009-07,8
2009-08,15
2009-09,60
2009-10,47
2009-11,44
2009-12,32
2010-01,20
2010-02,6
2010-03,4
2010-04,5
2010-05,4
2010-06,6
2010-07,6
2010-08,14
2010-09,48
2010-10,48
2010-11,40
2010-12,23
2011-01,21
2011-02,8
2011-03,4
2011-04,4
2011-05,4
2011-06,5
2011-07,8
2011-08,17
2011-09,55
2011-10,51
2011-11,52
2011-12,28
2012-01,19
2012-02,8
2012-03,4
2012-04,5
2012-05,5
2012-06,5
2012-07,9
2012-08,18
2012-09,55
2012-10,50
2012-11,54
2012-12,24
2013-01,18
2013-02,7
2013-03,4
2013-04,5
2013-05,4
2013-06,5
2013-07,8
2013-08,22
2013-09,53
2013-10,44
2013-11,47
2013-12,33
2014-01,18
2014-02,6
2014-03,4
2014-04,5
2014-05,5
2014-06,4
2014-07,8
2014-08,25
2014-09,55
2014-10,56
2014-11,67
2014-12,44
2015-01,32
2015-02,8
2015-03,4
2015-04,5
2015-05,4
2015-06,4
2015-07,7
2015-08,16
2015-09,74
2015-10,64
2015-11,77
2015-12,42
2016-01,29
2016-02,8
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,7
2016-08,17
2016-09,95
2016-10,80
2016-11,77
2016-12,48
2017-01,27
2017-02,7
2017-03,4
2017-04,5
2017-05,5
2017-06,5
2017-07,8
2017-08,19
2017-09,83
2017-10,75
2017-11,94
2017-12,60
2018-01,35
2018-02,7
2018-03,4
2018-04,5
2018-05,4
2018-06,5
2018-07,8
2018-08,24
2018-09,100
2018-10,80
2018-11,92
2018-12,68
2019-01,31
2019-02,7
2019-03,5
2019-04,5
2019-05,5
2019-06,5
2019-07,8
2019-08,37
2019-09,89
2019-10,79
2019-11,95
2019-12,83
2020-01,35
2020-02,6
2020-03,4
2020-04,5
2020-05,6
2020-06,5
2020-07,8
2020-08,12
2020-09,34
2020-10,49
2020-11,48
2020-12,49
2021-01,32
2021-02,7
2021-03,5
2021-04,5
2021-05,4
2021-06,5
2021-07,6
2021-08,16
2021-09,91
2021-10,97
2021-11,91
2021-12,65
2022-01,34
2022-02,7
2022-03,5
